{'r=16_2, alpha=2': 0.05531103432672559,
 'r=16_2, alpha=3': 0.07365974504539831,
 'r=16_2, alpha=4': 0.149377867671188,
 'r=16_2, alpha=5': 0.2383536087975349,
 'r=32_2, alpha=2': 0.05923706005849889,
 'r=32_2, alpha=3': 0.07472952705088284,
 'r=32_2, alpha=4': 0.15453795127479317,
 'r=32_2, alpha=5': 0.22130201655159662,
 'r=64_2, alpha=2': 0.05747916632248626,
 'r=64_2, alpha=3': 0.07821901652467918,
 'r=64_2, alpha=4': 0.1417710069101706,
 'r=64_2, alpha=5': 0.18265776635878014,
 'r=128_2, alpha=2': 0.06428255989173427,
 'r=128_2, alpha=3': 0.0921665249686498,
 'r=128_2, alpha=4': 0.14548104368411133,
 'r=128_2, alpha=5': 0.14519831508760941,
 'r=256_2, alpha=2': 0.04648171239236602,
 'r=256_2, alpha=3': 0.06436521303976957,
 'r=256_2, alpha=4': 0.11616547800080264,
 'r=256_2, alpha=5': 0.10279871155849937,
 'r=512_2, alpha=2': 0.01836295380723834,
 'r=512_2, alpha=3': -5.255336877465284e-06,
 'r=512_2, alpha=4': 0.024733820641945525,
 'r=512_2, alpha=5': 0.028398646574531276,
 'r=1024_2, alpha=2': -0.012605742462697647,
 'r=1024_2, alpha=3': 0.0011548263678972032,
 'r=1024_2, alpha=4': 0.008776905395472202,
 'r=1024_2, alpha=5': -0.004061604266722465,
 'r=2048_2, alpha=2': -0.008593398433128252,
 'r=2048_2, alpha=3': -0.001366927970622446,
 'r=2048_2, alpha=4': -0.027240563322450166,
 'r=2048_2, alpha=5': -0.028043964322806262,
 'r=16_3, alpha=2': 0.05230722171275475,
 'r=16_3, alpha=3': 0.059236661436579026,
 'r=16_3, alpha=4': 0.13705354078026863,
 'r=16_3, alpha=5': 0.20680013894842025,
 'r=32_3, alpha=2': 0.056041274291019426,
 'r=32_3, alpha=3': 0.07520242034916262,
 'r=32_3, alpha=4': 0.15791901975652467,
 'r=32_3, alpha=5': 0.2392319270741349,
 'r=64_3, alpha=2': 0.059928752161400034,
 'r=64_3, alpha=3': 0.07623041769189473,
 'r=64_3, alpha=4': 0.13637825903424544,
 'r=64_3, alpha=5': 0.19125081430382865,
 'r=128_3, alpha=2': 0.05747916632248626,
 'r=128_3, alpha=3': 0.07821901652467918,
 'r=128_3, alpha=4': 0.13086308422145937,
 'r=128_3, alpha=5': 0.16319532546876533,
 'r=256_3, alpha=2': 0.051921669262761865,
 'r=256_3, alpha=3': 0.0663952086002175,
 'r=256_3, alpha=4': 0.10554181919367596,
 'r=256_3, alpha=5': 0.13862609732445122,
 'r=512_3, alpha=2': 0.02158300430799532,
 'r=512_3, alpha=3': 0.04129713740698912,
 'r=512_3, alpha=4': 0.0692205693926399,
 'r=512_3, alpha=5': 0.08724229056479206,
 'r=1024_3, alpha=2': -0.0019113233866926468,
 'r=1024_3, alpha=3': 0.0016772129834947385,
 'r=1024_3, alpha=4': 0.03980498224388007,
 'r=1024_3, alpha=5': 0.06144435927282375,
 'r=2048_3, alpha=2': -0.019126859140523752,
 'r=2048_3, alpha=3': 0.00667494894545064,
 'r=2048_3, alpha=4': -0.028005508813704384,
 'r=2048_3, alpha=5': -0.03664498184133764,
 'r=16_4, alpha=2': 0.05307131610784122,
 'r=16_4, alpha=3': 0.060990852217879435,
 'r=16_4, alpha=4': 0.13434827072904545,
 'r=16_4, alpha=5': 0.214929221552216,
 'r=32_4, alpha=2': 0.05457285406582348,
 'r=32_4, alpha=3': 0.05671151567264219,
 'r=32_4, alpha=4': 0.13493890265515737,
 'r=32_4, alpha=5': 0.23749638986025642,
 'r=64_4, alpha=2': 0.05035481397541435,
 'r=64_4, alpha=3': 0.07125116535671248,
 'r=64_4, alpha=4': 0.12275109308233201,
 'r=64_4, alpha=5': 0.20031826195757757,
 'r=128_4, alpha=2': 0.056041274291019426,
 'r=128_4, alpha=3': 0.07520242034916262,
 'r=128_4, alpha=4': 0.11327806333028335,
 'r=128_4, alpha=5': 0.15958138310588654,
 'r=256_4, alpha=2': 0.04171101887483536,
 'r=256_4, alpha=3': 0.06271205106119178,
 'r=256_4, alpha=4': 0.08543329235115478,
 'r=256_4, alpha=5': 0.09895754479298603,
 'r=512_4, alpha=2': 0.01700777908163277,
 'r=512_4, alpha=3': 0.033540635418489305,
 'r=512_4, alpha=4': 0.0736567865476854,
 'r=512_4, alpha=5': 0.07278996180301688}
